PCO_Name,PCO_Code,_7_day_QI,all_QI,percent_7_day_QI
EAST BERKSHIRE CCG,15D00,8827,309819,0.028490828516004506
MANCHESTER CCG,14L00,17122,612938,0.02793430983231583
HULL CCG,03F00,12061,437652,0.027558425415627027
NORTH EAST LINCOLNSHIRE CCG,03H00,8680,319163,0.0271961348903225
BLACKPOOL CCG,00R00,11095,418916,0.026485023250484584
HARROW CCG,08E00,6265,240314,0.026070058340338056
NORTH NORFOLK CCG,06V00,3416,141553,0.024132303801403007
VALE ROYAL CCG,02D00,4270,177870,0.024006296733569462
HIGH WEALD LEWES HAVENS CCG,99K00,4431,192858,0.022975453442429145
STOCKPORT CCG,01W00,8953,390711,0.022914635113933317
SOUTH TEES CCG,00M00,8596,380166,0.022611175118237823
DEVON CCG,15N00,43701,1940133,0.022524744437623607
MEDWAY CCG,09W00,4984,221298,0.022521667615613337
MILTON KEYNES CCG,04F00,9121,408276,0.0223402796147704
NORWICH CCG,06W00,3906,177061,0.022060193944459818
WEST KENT CCG,99J00,8274,378460,0.02186228399302436
FYLDE & WYRE CCG,02M00,8232,377813,0.021788556772795006
NORTH HAMPSHIRE CCG,10J00,7651,359272,0.021295842704135027
CRAWLEY CCG,09H00,3591,174356,0.020595792516460574
EAST SURREY CCG,09L00,4830,238404,0.020259727185785472
WEST LEICESTERSHIRE CCG,04V00,10906,545304,0.019999853292842158
COASTAL WEST SUSSEX CCG,09G00,16093,852208,0.018883887501642792
WEST ESSEX CCG,07H00,7707,409503,0.018820374942308114
CAMBRIDGESHIRE AND PETERBOROUGH CCG,06H00,12201,659896,0.018489277098209415
HEREFORDSHIRE CCG,05F00,7091,385428,0.018397729277582323
NORTH LINCOLNSHIRE CCG,03K00,7455,411461,0.018118363587314473
EASTERN CHESHIRE CCG,01C00,5544,308417,0.01797566282014286
EAST LEICESTERSHIRE AND RUTLAND CCG,03W00,8645,481315,0.01796121043391542
MID ESSEX CCG,06Q00,11088,662205,0.01674405961900016
ISLINGTON CCG,08H00,3080,191264,0.016103396352685293
THURROCK CCG,07G00,2828,177785,0.015906853784065023
WILTSHIRE CCG,99N00,12243,792935,0.015440105431088298
MANSFIELD & ASHFIELD CCG,04E00,6167,400797,0.01538684171787713
NORTH WEST SURREY CCG,09Y00,6685,443339,0.015078754632459584
BOLTON CCG,00T00,6951,462789,0.015019803841491479
SOUTH WARWICKSHIRE CCG,05R00,5236,352718,0.014844720144704835
ISLE OF WIGHT CCG,10L00,2646,182878,0.014468662168221437
CAMDEN CCG,07R00,2975,206589,0.014400573118607476
WYRE FOREST CCG,06D00,2471,173463,0.014245112790623937
SOUTHPORT AND FORMBY CCG,01V00,1750,123156,0.014209620318945078
BASILDON AND BRENTWOOD CCG,99E00,4137,292367,0.014150023771492678
LEICESTER CITY CCG,04C00,5376,380001,0.014147331191233707
DUDLEY CCG,05C00,7581,542264,0.013980275290264521
DERBY & DERBYSHIRE CCG,15M00,25732,1874813,0.013725102183524436
NORTH EAST HAMPSHIRE AND FARNHAM CCG,99M00,4445,324121,0.013714014210742285
SWALE CCG,10D00,1715,127739,0.013425813572988672
LIVERPOOL CCG,99A00,8379,625584,0.013393884754085782
HARTLEPOOL AND STOCKTON-ON-TEES CCG,00K00,6293,481546,0.013068325767424088
WEST NORFOLK CCG,07J00,3829,295053,0.012977329496734484
SURREY DOWNS CCG,99H00,5257,406718,0.012925417611219568
WEST SUFFOLK CCG,07K00,3920,305680,0.012823868097356713
"EASTBOURNE, HAILSHAM AND SEAFORD CCG",09F00,4060,319869,0.012692696072454662
TAMESIDE AND GLOSSOP CCG,01Y00,3962,313480,0.0126387648334822
"AIREDALE, WHARFEDALE AND CRAVEN CCG",02N00,2814,223108,0.012612725675457626
SURREY HEATH CCG,10C00,1449,115935,0.012498382714452064
KERNOW CCG,11N00,6818,554122,0.012304149627699315
EAST STAFFORDSHIRE CCG,05D00,2793,229821,0.012152936415732243
WEST LANCASHIRE CCG,02G00,1645,142857,0.011515011515011515
GUILDFORD AND WAVERLEY CCG,09N00,2324,202155,0.011496129207786105
