PCO_Name,PCO_Code,_7_day_QI,all_QI,percent_7_day_QI
TOWER HAMLETS CCG,08V00,137452,725492,0.18946039377415602
WANDSWORTH CCG,08X00,97720,610329,0.16011036670385972
LAMBETH CCG,08K00,102655,668041,0.15366571812209132
SUNDERLAND CCG,00P00,168679,1220536,0.1382007576998958
SOUTHWARK CCG,08Q00,84756,614439,0.13794046276359412
HAMMERSMITH AND FULHAM CCG,08C00,56847,414194,0.1372472802599748
NEWCASTLE GATESHEAD CCG,13T00,229131,1813918,0.1263182789960737
HARINGEY CCG,08D00,78666,657951,0.11956209504963136
NORTH TYNESIDE CCG,99C00,91119,811760,0.11224869419532867
BARKING & DAGENHAM CCG,07L00,57036,556909,0.10241529585623504
EALING CCG,07W00,122605,1199737,0.10219323068305804
NEWHAM CCG,08M00,100688,985369,0.10218304005910477
"DURHAM DALES,EASINGTON & SEDGEFIELD CCG",00D00,127855,1260462,0.10143502937811691
DARLINGTON CCG,00C00,38640,390659,0.09890979089180078
NORTH DURHAM CCG,00J00,94171,963419,0.09774667097078218
WOLVERHAMPTON CCG,06A00,83321,887139,0.09392102026852613
SOUTH TYNESIDE CCG,00N00,58632,629918,0.0930787816826952
MERTON CCG,08R00,41580,466484,0.08913488994263469
SALFORD CCG,01G00,73353,832598,0.08810134062296571
KINGSTON CCG,08J00,38430,440808,0.08718081341536452
HOUNSLOW CCG,07Y00,68719,788350,0.08716813598021184
BRIGHTON & HOVE CCG,09D00,52836,621801,0.08497252336358417
BATH AND NORTH EAST SOMERSET CCG,11E00,47047,553987,0.08492437548173513
RICHMOND CCG,08P00,36442,429659,0.08481609834775951
CENTRAL LONDON (WESTMINSTER) CCG,09A00,34111,406172,0.0839816629408231
SUTTON CCG,08T00,46326,568329,0.0815126449644484
"BRISTOL, NORTH SOMERSET & S GLOS CCG",15C00,211610,2648904,0.07988586977859523
ENFIELD CCG,07X00,76748,968887,0.0792125397492174
GREATER HUDDERSFIELD CCG,03A00,54719,700885,0.0780712955763071
NORTH KIRKLEES CCG,03J00,43127,560466,0.07694846788208384
CROYDON CCG,07V00,64715,884813,0.07313974817277775
TRAFFORD CCG,02A00,54880,769624,0.07130754758167625
SOUTH LINCOLNSHIRE CCG,99D00,42098,602306,0.06989470468499401
BARNSLEY CCG,02P00,73913,1071862,0.06895757103059909
BRENT CCG,07P00,67298,977069,0.06887742830854321
BRADFORD CITY CCG,02W00,25928,388163,0.06679668077585962
BEXLEY CCG,07N00,45738,700501,0.06529326867484843
REDBRIDGE CCG,08N00,56980,886062,0.06430701237610913
HILLINGDON CCG,08G00,52038,819886,0.06346979945992491
HERTS VALLEYS CCG,06N00,110502,1762680,0.06268976785349581
WEST LONDON (K&C & QPP) CCG,08Y00,31836,511143,0.062283940110693096
LINCOLNSHIRE WEST CCG,04D00,48335,779001,0.06204741714067119
"DARTFORD, GRAVESHAM AND SWANLEY CCG",09J00,47992,791696,0.06061922758230432
LEEDS CCG,15F00,152418,2515563,0.06059001503838306
SHEFFIELD CCG,03N00,111300,1845146,0.06032042992803822
NORTHUMBERLAND CCG,00L00,79947,1337768,0.059761483306522506
BRADFORD DISTRICTS CCG,02R00,62272,1074436,0.057957849513605275
SWINDON CCG,12D00,40243,707177,0.05690654532033706
CALDERDALE CCG,02T00,39312,699713,0.05618303504436819
GLOUCESTERSHIRE CCG,11M00,99414,1810004,0.054924740497811056
PORTSMOUTH CCG,10R00,30506,572289,0.05330523564143291
HULL CCG,03F00,49679,959489,0.051776518542682615
BARNET CCG,07M00,52689,1038277,0.05074657340960071
SOUTH WORCESTERSHIRE CCG,05T00,46746,940196,0.0497194202059996
GREENWICH CCG,08A00,33607,678873,0.04950410459688336
LINCOLNSHIRE EAST CCG,03T00,49994,1037921,0.04816744241613764
SE STAFFS & SEISDON PENINSULAR CCG,05Q00,34965,743409,0.047033328894323316
OXFORDSHIRE CCG,10Q00,86394,1867095,0.046271882255589564
SOUTH WEST LINCOLNSHIRE CCG,04Q00,22449,503319,0.04460193237290863
EAST AND NORTH HERTFORDSHIRE CCG,06K00,78246,1755405,0.04457432900099977
