PCO_Name,PCO_Code,_7_day_QI,all_QI,percent_7_day_QI
WEST LANCASHIRE CCG,02G00,3479,121224,0.028698937504124597
MID ESSEX CCG,06Q00,10640,382895,0.027788297052716803
SOUTHPORT AND FORMBY CCG,01V00,3619,135900,0.026629874908020604
NORTH EAST HAMPSHIRE AND FARNHAM CCG,99M00,4711,179332,0.026269712042468717
VALE OF YORK CCG,03Q00,7742,300104,0.025797723455868633
THURROCK CCG,07G00,3640,142095,0.025616664907280342
MANSFIELD & ASHFIELD CCG,04E00,6209,246234,0.02521585158832655
ISLE OF WIGHT CCG,10L00,4599,184386,0.024942240734112133
"AIREDALE, WHARFEDALE AND CRAVEN CCG",02N00,4200,169222,0.024819467917883017
SWALE CCG,10D00,2625,106569,0.024631928609633195
DUDLEY CCG,05C00,9800,400095,0.024494182631624988
HARTLEPOOL AND STOCKTON-ON-TEES CCG,00K00,7840,323906,0.024204553172834094
BASILDON AND BRENTWOOD CCG,99E00,6139,254357,0.024135368792681154
CAMDEN CCG,07R00,2989,124642,0.023980680669437267
SURREY DOWNS CCG,99H00,5593,236853,0.023613802653966807
SHROPSHIRE CCG,05N00,7518,335120,0.02243375507280974
WEST NORFOLK CCG,07J00,5355,240490,0.022267038130483596
BERKSHIRE WEST CCG,15A00,8421,381720,0.022060672744419994
SURREY HEATH CCG,10C00,1785,82390,0.021665250637213255
DERBY & DERBYSHIRE CCG,15M00,22127,1025859,0.0215692409970571
KERNOW CCG,11N00,14924,698116,0.021377536111477177
MORECAMBE BAY CCG,01K00,8638,406084,0.021271461077018546
WEST SUFFOLK CCG,07K00,5768,273249,0.021108951908332695
TELFORD & WREKIN CCG,05X00,3801,182079,0.020875554017761522
LEICESTER CITY CCG,04C00,6741,324489,0.02077420189898579
TAMESIDE AND GLOSSOP CCG,01Y00,5922,290876,0.020359190857960095
NENE CCG,04G00,12481,628538,0.01985719240523246
LIVERPOOL CCG,99A00,9492,493478,0.019234900036070503
IPSWICH AND EAST SUFFOLK CCG,06L00,8540,447634,0.019078086114995733
SANDWELL AND WEST BIRMINGHAM CCG,05L00,10374,547211,0.01895795223414734
NEWARK & SHERWOOD CCG,04H00,2905,154417,0.018812695493371844
SOUTH NORFOLK CCG,06Y00,5033,269065,0.018705517254195083
FAREHAM AND GOSPORT CCG,10K00,3969,214534,0.018500564013163415
GUILDFORD AND WAVERLEY CCG,09N00,3108,168727,0.01842028839486271
"EASTBOURNE, HAILSHAM AND SEAFORD CCG",09F00,4424,241636,0.018308530185899452
EAST STAFFORDSHIRE CCG,05D00,2716,149756,0.0181361681668848
BEDFORDSHIRE CCG,06F00,7371,416706,0.017688730183870644
BUCKINGHAMSHIRE CCG,14Y00,8197,468460,0.01749775861332878
SOUTH EASTERN HAMPSHIRE CCG,10V00,4088,239113,0.01709651921894669
CASTLE POINT AND ROCHFORD CCG,99F00,3325,199744,0.016646307273309836
EAST RIDING OF YORKSHIRE CCG,02Y00,6356,382076,0.01663543378804217
HASTINGS & ROTHER CCG,09P00,3465,220779,0.015694427459133343
CANNOCK CHASE CCG,04Y00,2464,158153,0.015579849892193003
NORTH EAST ESSEX CCG,06T00,6258,404059,0.015487837172294145
NORTH CUMBRIA CCG,01H00,7588,491046,0.015452727443050141
DORSET CCG,11J00,14805,972230,0.015227878176974585
WALSALL CCG,05Y00,4970,330404,0.015042190772508807
WEST HAMPSHIRE CCG,11A00,7868,531816,0.014794590610286264
STAFFORD AND SURROUNDS CCG,05V00,2394,161897,0.014787179503017351
WAKEFIELD CCG,03R00,6006,407639,0.014733624604122765
DONCASTER CCG,02X00,5425,381098,0.014235183601068492
NOTTINGHAM WEST CCG,04M00,1456,105079,0.013856241494494619
OLDHAM CCG,00Y00,3612,267398,0.013507954434962116
HARROGATE AND RURAL DISTRICT CCG,03E00,1953,156325,0.012493203262434032
SOUTH CHESHIRE CCG,01R00,2205,176767,0.012474047757782844
NOTTINGHAM CITY CCG,04K00,3066,252932,0.012121835117739154
RUSHCLIFFE CCG,04N00,1393,118197,0.011785409105138032
LUTON CCG,06P00,2149,184603,0.011641197597005467
STOKE ON TRENT CCG,05W00,3220,281739,0.011429017636890882
LEWISHAM CCG,08L00,2289,200533,0.011414580143916463
WEST CHESHIRE CCG,02F00,2884,256657,0.011236786840023844
BASSETLAW CCG,02Q00,1463,130817,0.01118356176949479
HALTON CCG,01F00,1659,156065,0.010630186140390222
"HEYWOOD, MIDDLETON & ROCHDALE CCG",01D00,2730,256989,0.010623022775293884
BIRMINGHAM AND SOLIHULL CCG,15E00,13580,1297499,0.010466289376716283
"HAMBLETON, RICHMONDSHIRE AND WHITBY CCG",03D00,1834,175564,0.010446332961199335
SOUTH SEFTON CCG,01T00,1750,168036,0.010414435002023376
CHORLEY AND SOUTH RIBBLE CCG,00X00,2198,215265,0.010210670568833763
SOUTHEND CCG,99G00,1603,162017,0.00989402346667325
REDDITCH AND BROMSGROVE CCG,05J00,1694,175442,0.009655612681113986
BROMLEY CCG,07Q00,2821,296878,0.009502219767042354
WARWICKSHIRE NORTH CCG,05H00,2191,235554,0.009301476519184561
WARRINGTON CCG,02E00,1946,226371,0.008596507503169575
NOTTINGHAM NORTH & EAST CCG,04L00,1218,143873,0.008465799698345069
EAST LANCASHIRE CCG,01A00,3738,447828,0.008346954634368553
ROTHERHAM CCG,03L00,2541,311348,0.008161285763839819
GREAT YARMOUTH & WAVENEY CCG,06M00,2261,281246,0.00803922544676191
SOUTHAMPTON CCG,10X00,1701,214014,0.007948078163110824
COVENTRY AND RUGBY CCG,05A00,3206,424945,0.007544505759568885
ASHFORD CCG,09C00,833,114683,0.007263500257230802
SOUTH KENT COAST CCG,10A00,1442,228499,0.00631074971881715
WIRRAL CCG,12F00,2240,358680,0.00624512099921936
CANTERBURY AND COASTAL CCG,09E00,1155,197327,0.005853228397533029
HORSHAM AND MID SUSSEX CCG,09X00,1190,213052,0.005585490866079642
ST HELENS CCG,01X00,1316,236248,0.005570417527344147
THANET CCG,10E00,847,160722,0.005269969263697565
SOMERSET CCG,11X00,3339,638893,0.005226227239929064
NORTH STAFFORDSHIRE CCG,05G00,1183,229755,0.005148963025831865
BLACKBURN WITH DARWEN CCG,00Q00,924,204498,0.004518381597864038
KNOWSLEY CCG,01J00,945,212715,0.0044425639940765815
WIGAN BOROUGH CCG,02H00,1701,432380,0.003934039502289653
BURY CCG,00V00,553,221765,0.002493630645052195
CORBY CCG,03V00,154,72510,0.0021238449868983588
