,chemical_code,chemical,month,TotalItems,TotalCost
165,0208020N0,Phenindione,2014-08-01,183,64680.870000000024
166,0208020N0,Phenindione,2015-07-01,137,128564.6100000001
167,0208020N0,Phenindione,2015-03-01,129,41449.37000000002
168,0208020N0,Phenindione,2015-04-01,126,47560.539999999986
169,0208020N0,Phenindione,2012-09-01,241,53305.36999999999
170,0208020N0,Phenindione,2016-03-01,92,157559.13
171,0208020N0,Phenindione,2017-05-01,75,142671.92176
172,0208020N0,Phenindione,2017-09-01,62,131185.93846999996
173,0208020N0,Phenindione,2014-06-01,146,44867.319999999985
174,0208020N0,Phenindione,2011-03-01,1552,108082.55999999997
175,0208020N0,Phenindione,2016-09-01,84,130690.16999999998
176,0208020N0,Phenindione,2017-01-01,69,133768.88937000002
177,0208020N0,Phenindione,2014-03-01,183,54418.24999999999
178,0208020N0,Phenindione,2012-01-01,1393,186790.79000000004
179,0208020N0,Phenindione,2014-05-01,152,42543.53000000001
180,0208020N0,Phenindione,2017-02-01,66,104002.74087000001
181,0208020N0,Phenindione,2015-09-01,115,113100.99999999996
182,0208020N0,Phenindione,2012-03-01,1354,217688.4899999999
183,0208020N0,Phenindione,2010-10-01,1686,108215.44999999994
184,0208020N0,Phenindione,2016-06-01,92,169268.16000000006
185,0208020N0,Phenindione,2010-08-01,2087,128136.96999999997
186,0208020N0,Phenindione,2015-10-01,128,216518.83999999994
187,0208020N0,Phenindione,2015-12-01,91,173176.16999999998
188,0208020N0,Phenindione,2013-11-01,156,44312.32999999999
189,0208020N0,Phenindione,2013-07-01,121,31588.940000000006
190,0208020N0,Phenindione,2017-04-01,60,104269.21695
191,0208020N0,Phenindione,2014-01-01,212,62881.37000000001
192,0208020N0,Phenindione,2014-12-01,175,66679.20000000001
193,0208020N0,Phenindione,2011-08-01,1130,108198.19
194,0208020N0,Phenindione,2012-02-01,1345,180637.33999999994
195,0208020N0,Phenindione,2018-03-01,67,125647.60315000001
196,0208020N0,Phenindione,2016-07-01,88,149230.86000000002
197,0208020N0,Phenindione,2015-01-01,144,53030.580000000016
198,0208020N0,Phenindione,2015-06-01,133,144413.18
199,0208020N0,Phenindione,2011-04-01,1079,87330.08999999997
200,0208020N0,Phenindione,2014-02-01,140,42179.9
201,0208020N0,Phenindione,2010-11-01,2718,206627.7600000001
202,0208020N0,Phenindione,2017-11-01,60,122700.32531999999
203,0208020N0,Phenindione,2015-02-01,97,29380.550000000007
204,0208020N0,Phenindione,2012-08-01,282,53980.83999999995
205,0208020N0,Phenindione,2015-08-01,144,136967.7800000001
206,0208020N0,Phenindione,2015-11-01,113,199187.90999999995
207,0208020N0,Phenindione,2016-01-01,76,147110.11
208,0208020N0,Phenindione,2011-02-01,1677,120296.17000000006
209,0208020N0,Phenindione,2012-05-01,862,166033.14
210,0208020N0,Phenindione,2018-02-01,54,98425.33428000001
211,0208020N0,Phenindione,2011-10-01,1667,241440.12000000005
212,0208020N0,Phenindione,2016-08-01,76,135732.08000000002
213,0208020N0,Phenindione,2011-07-01,1313,128101.61999999988
214,0208020N0,Phenindione,2013-06-01,174,41369.21
215,0208020N0,Phenindione,2018-04-01,60,95847.40183999999
216,0208020N0,Phenindione,2016-11-01,85,144045.32
217,0208020N0,Phenindione,2011-12-01,1695,244778.8500000002
218,0208020N0,Phenindione,2016-10-01,63,104435.34999999998
219,0208020N0,Phenindione,2011-05-01,2321,247508.13999999978
220,0208020V0,Warfarin Sodium,2017-05-01,827847,1135182.1375999935
221,0208020V0,Warfarin Sodium,2017-04-01,774531,1052235.9391099992
222,0208020V0,Warfarin Sodium,2016-10-01,856480,1262810.310000001
223,0208020V0,Warfarin Sodium,2015-11-01,920394,1701122.6900000018
224,0208020V0,Warfarin Sodium,2015-10-01,964230,1780953.5199999993
225,0208020V0,Warfarin Sodium,2012-11-01,896147,1234866.2799999998
