,chemical_code,chemical,month,TotalItems,TotalCost
399,0208020X0,Dabigatran Etexilate,2013-05-01,13716,766756.7200000002
400,0208020X0,Dabigatran Etexilate,2014-10-01,27267,1572667.9100000001
401,0208020X0,Dabigatran Etexilate,2017-03-01,39382,1812378.3222000059
402,0208020X0,Dabigatran Etexilate,2018-03-01,39869,1857288.427340017
403,0208020X0,Dabigatran Etexilate,2013-02-01,9604,524016.11000000045
404,0208020X0,Dabigatran Etexilate,2015-02-01,25961,1495052.9399999992
405,0208020X0,Dabigatran Etexilate,2016-02-01,31241,1416076.7600000068
406,0208020Y0,Rivaroxaban,2014-11-01,71300,3519939.2300000004
407,0208020Y0,Rivaroxaban,2016-08-01,222822,9897999.950000005
408,0208020Y0,Rivaroxaban,2016-10-01,229201,10188959.69999994
409,0208020Y0,Rivaroxaban,2012-05-01,318,15849.380000000005
410,0208020Y0,Rivaroxaban,2016-01-01,167137,7341471.660000006
411,0208020Y0,Rivaroxaban,2013-06-01,13085,617076.06
412,0208020Y0,Rivaroxaban,2010-10-01,147,12469.599999999993
413,0208020Y0,Rivaroxaban,2016-05-01,195558,8659125.499999994
414,0208020Y0,Rivaroxaban,2014-08-01,57923,2832465.6700000004
415,0208020Y0,Rivaroxaban,2015-04-01,108479,5451840.289999998
416,0208020Y0,Rivaroxaban,2016-09-01,228791,10183344.170000006
417,0208020Y0,Rivaroxaban,2016-06-01,209453,9285549.250000004
418,0208020Y0,Rivaroxaban,2013-10-01,23650,1134588.2599999995
419,0208020Y0,Rivaroxaban,2017-09-01,283438,12888038.37138011
420,0208020Y0,Rivaroxaban,2013-01-01,5319,246936.7
421,0208020Y0,Rivaroxaban,2017-06-01,280399,12656619.956070114
422,0208020Y0,Rivaroxaban,2013-07-01,16700,783563.79
423,0208020Y0,Rivaroxaban,2015-06-01,124084,6227919.160000002
424,0208020Y0,Rivaroxaban,2015-07-01,137561,6945753.990000004
425,0208020Y0,Rivaroxaban,2017-10-01,294925,13345455.890169676
426,0208020Y0,Rivaroxaban,2017-03-01,271545,12275318.03756003
427,0208020Y0,Rivaroxaban,2012-04-01,198,9324.549999999996
428,0208020Y0,Rivaroxaban,2011-03-01,142,11159.809999999996
429,0208020Y0,Rivaroxaban,2014-07-01,57008,2784504.7
430,0208020Y0,Rivaroxaban,2010-12-01,128,9907.219999999998
431,0208020Y0,Rivaroxaban,2012-06-01,457,22447.82000000001
432,0208020Y0,Rivaroxaban,2017-02-01,232266,10400980.356269969
433,0208020Y0,Rivaroxaban,2018-03-01,316658,14564807.402159883
434,0208020Y0,Rivaroxaban,2011-04-01,135,11261.300000000001
435,0208020Y0,Rivaroxaban,2018-02-01,283430,12920130.677699752
436,0208020Y0,Rivaroxaban,2014-09-01,63784,3137914.040000001
437,0208020Y0,Rivaroxaban,2011-06-01,127,9627.650000000003
438,0208020Y0,Rivaroxaban,2011-05-01,127,9743.219999999998
439,0208020Y0,Rivaroxaban,2018-04-01,310793,14260722.44832039
440,0208020Y0,Rivaroxaban,2011-01-01,105,8646.619999999999
441,0208020Y0,Rivaroxaban,2010-09-01,161,13703.159999999996
442,0208020Y0,Rivaroxaban,2013-09-01,19944,951532.6
443,0208020Y0,Rivaroxaban,2012-11-01,3263,149550.62999999998
444,0208020Y0,Rivaroxaban,2016-03-01,189121,8343072.800000004
445,0208020Y0,Rivaroxaban,2013-11-01,25276,1226406.6199999999
446,0208020Y0,Rivaroxaban,2014-04-01,41687,2014291.1600000001
447,0208020Y0,Rivaroxaban,2012-07-01,874,41939.160000000054
448,0208020Y0,Rivaroxaban,2017-05-01,274676,12416197.044930099
449,0208020Y0,Rivaroxaban,2015-05-01,112573,5666898.149999997
450,0208020Y0,Rivaroxaban,2012-03-01,195,9011.49
451,0208020Y0,Rivaroxaban,2014-05-01,46163,2249935.229999998
452,0208020Y0,Rivaroxaban,2011-10-01,106,8998.779999999997
453,0208020Y0,Rivaroxaban,2015-01-01,88234,4396233.290000002
454,0208020Y0,Rivaroxaban,2011-09-01,89,6844.540000000001
455,0208020Y0,Rivaroxaban,2012-09-01,1726,79150.64999999995
456,0208020Y0,Rivaroxaban,2011-07-01,110,8710.56
457,0208020Y0,Rivaroxaban,2011-08-01,101,7215.040000000004
458,0208020Y0,Rivaroxaban,2015-08-01,132025,6666589.500000004
459,0208020Y0,Rivaroxaban,2012-02-01,138,6380.0799999999945
460,0208020Y0,Rivaroxaban,2016-02-01,172171,7558855.480000015
461,0208020Y0,Rivaroxaban,2015-03-01,104082,5187732.889999995
462,0208020Y0,Rivaroxaban,2013-02-01,6200,284500.9900000001
463,0208020Y0,Rivaroxaban,2014-01-01,31983,1560143.4200000002
464,0208020Y0,Rivaroxaban,2015-02-01,88040,4358947.35
465,0208020Y0,Rivaroxaban,2016-11-01,241991,10767159.079999976
466,0208020Y0,Rivaroxaban,2016-04-01,197977,8774201.000000011
467,0208020Y0,Rivaroxaban,2013-12-01,29270,1408684.8799999994
468,0208020Y0,Rivaroxaban,2017-08-01,287276,12999177.603989862
469,0208020Y0,Rivaroxaban,2014-06-01,48061,2327068.089999998
